route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000081,OCESN12271F4535944:2025-07-02T23:28:40Z,12271,1,94,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000082,OCESN12271F4535946:2025-07-02T23:28:40Z,12271,1,95,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000083,OCESN12271F4535947:2025-07-02T23:28:40Z,12271,1,96,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000084,OCESN12272F4527687:2025-07-02T23:28:40Z,12272,0,97,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000085,OCESN12272F4535943:2025-07-02T23:28:40Z,12272,0,98,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000086,OCESN12272F4754693:2025-07-02T23:28:40Z,12272,0,99,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000087,OCESN12273F4535939:2025-07-02T23:28:40Z,12273,1,100,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000023,OCESN12273F4741111:2025-07-02T23:28:40Z,12273,1,101,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000088,OCESN12274F4535936:2025-07-02T23:28:40Z,12274,0,102,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000089,OCESN12274F4535937:2025-07-02T23:28:40Z,12274,0,103,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000090,OCESN12274F4754806:2025-07-02T23:28:40Z,12274,0,104,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000028,OCESN12275F3830744:2025-07-02T23:28:40Z,12275,1,105,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000091,OCESN12276F4535933:2025-07-02T23:28:40Z,12276,0,106,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000038,OCESN12276F4754807:2025-07-02T23:28:40Z,12276,0,107,
FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3:,000009,OCESN12277F4535931:2025-06-17T23:52:01Z,12277,0,108,
FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3:,000092,OCESN12277F4535932:2025-06-17T23:52:01Z,12277,0,109,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000093,OCESN12278F4535930:2025-07-02T23:28:40Z,12278,0,110,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000041,OCESN12278F4754808:2025-07-02T23:28:40Z,12278,0,111,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000028,OCESN12295F4720311:2025-07-01T23:24:24Z,12295,1,112,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000094,OCESN2027F4720638:2025-07-01T23:24:24Z,2027,0,113,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000095,OCESN2033F4548026:2025-06-17T23:52:01Z,2033,0,114,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000096,OCESN2051F4328913:2025-05-28T00:14:01Z,2051,0,115,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000097,OCESN2051F4710176:2025-07-02T23:28:40Z,2051,0,116,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000094,OCESN2051F4720623:2025-07-02T23:28:40Z,2051,0,117,
